dish_name,count
"rántott /sajt vagy r.szelet vagy r. jércemell/ rizzsel, milánói sertésborda",1232
"Hétköznapi árakon, nem hétköznapi ebéd",1232
Zöldség vagy gyümölcsleves -,1232
"Rántott szelet vagy rántott sajt vagy roston sült csirkecomb sültburgonya, saláta",1232
Állandó kínálatunk: csont és gyümölcs leves. Húsos második helyett választható:,1232
A Biztosítási Bázis weboldalának megtekintéséhez Kérjük Kattintson az alábbi logóra,1056
Kiskunfélegyháza Könyök utca 2,1056
Minden nap gyümölcsleves,1056
Roston csirkemell salátával,878
:  -  ig,799
"Minden nap friss és változatos ételek közül válogathat. Korrekt árak, kedves kiszolgálás",704
Kínálatunkat ITT találja,606
"Bankkártyát, PAYPASS és",532
"A mai menekülő menü: Rántott szelet, sajt, gomba körettel+leves",529
https://www.facebook.com/csillagvendeglokiskunfelegyhaza,529
"Sport szelet 30dkg rántott sertés szelet, 40dkg steak burgonya",519
Mai menü ár,338
Csontleves,325
Rózsakert honlap Heti menü,322
Bolognai spagetti,289
"Állandó kínálatunk: 100% Marhahúsból készült kézműves hamburger, - Hurka-kolbàsz",275
"Sült Oldalas, - Rántott csirkemell, vagy Rántott karaj, - Frissen készült szendvicsek",275
"Rántott sajt, sült burgonya, tartármártás",271
leves nélkül,271
Lebbencsleves,264
Gyümölcsleves,245
Milánói sertésborda,245
"Menekülő menü: Rántott szelet, rántott sajt, hasábburgonyával tartár mártással",243
Zöldségleves,238
Telefonszám:+36-30-398-21-69,238
Minden nap: Rántott szelet vagy rántott sajt körettel választható,224
Tel.: 06-20/504-81-88,210
"Menekülő menü: Leves + Rántott szelet, sült krumpli 2800ft / adag",204
Előfizetve 6 napra 1,192
Gyros tál,181
Húsleves tésztával,177
"Minden nap friss és változatos ételek közül válogathat.Korrekt árak, kedves kiszolgálás",176
"Állandó levesek: hideg gyümölcsleves, csontleves cérnametélttel",176
Crispy Chicken Nuggets 7db fűszerbundában sült csirkemell+hasábburgonya,170
"Weber, crispy vagy grillezett csirkemell, saláta",170
Paradicsomleves,169
"Bacon, sajt vagy csibe burger",169
